Player,Shapley
1,0.08831
2,0.07973
3,0.05096
4,0.04898
5,0.04898
6,0.04700
7,0.03917
8,0.03147
9,0.03147
10,0.02577
11,0.02388
12,0.02388
13,0.02200
14,0.02200
15,0.02200
16,0.02013
17,0.01827
18,0.01827
19,0.01827
20,0.01827
21,0.01641
22,0.01641
23,0.01641
24,0.01641
25,0.01456
26,0.01456
27,0.01272
28,0.01272
29,0.01272
30,0.01272
31,0.01088
32,0.01088
33,0.01088
34,0.01088
35,0.009053
36,0.007230
37,0.007230
38,0.007230
39,0.007230
40,0.007230
41,0.007230
42,0.007230
43,0.007230
44,0.007230
45,0.005412
46,0.005412
47,0.005412
48,0.005412
49,0.005412
50,0.005412
51,0.005412
